court,jurisdiction,cases,population_est,cases_per_10k
Zhovtnevyi,Mariupol – Zhovtnevyi/Tsentralnyi district,1412,130000,108.61538461538461
Khartsyzskii,Khartsyzk (city council area),1071,92000,116.41304347826087
Primorskii,Mariupol – Prymorskyi district,701,90000,77.88888888888889
Pershotravnevyi,Pershotravnevyi/Manhush raion,640,25000,256.0
Voroshilovskii,Donetsk – Voroshylovskyi district,522,90000,58.0
Enakievskii,Yenakiieve (city council area),521,103000,50.58252427184466
Gorlovskii,Horlivka (city),458,240000,19.083333333333332
Gornyatskii,Makiivka – Hirnytskyi district,401,85000,47.1764705882353
Volnovakhskii,Volnovakha raion,356,80000,44.5
Ordzhonikidzevskii,Mariupol – Ordzhonikidzevskyi/Livoberezhnyi district,354,110000,32.18181818181818
Tsentralno-Gorodskoi,Makiivka – Tsentralno-Miskyi district,341,85000,40.11764705882353
Ilichevskii,Mariupol – Illichivskyi/Kalmiuskyi district,254,95000,26.736842105263158
Amvrosievskii,Amvrosiivka raion,228,44000,51.81818181818182
Telmanovskii,Telmanove/Boikivske raion,208,25000,83.2
Yasinovatskii,Yasynuvata (city + raion),192,57000,33.68421052631579
Kirovskii,Donetsk – Kirovskyi district,186,170000,10.941176470588236
Starobeshevskii,Starobesheve raion,178,49000,36.326530612244895
Budennovskii,Donetsk – Budonnivskyi district,166,100000,16.6
Novoazovskii,Novoazovsk raion,152,33000,46.06060606060606
Volodarskii,Volodarske/Nikolske raion,70,27000,25.925925925925927
Debaltsevskii,Debaltseve (city),30,25000,12.0
Marinskii,Marinka raion,5,84000,0.5952380952380952
